Departamento,Homicidios,Poblacion,abb
AMAZONAS,5,77948,AMA
ANTIOQUIA,1915,6613118,ANT
ARAUCA,85,267992,ARA
ATLÁNTICO,555,2517897,ATL
BOLÍVAR,402,2146696,BOL
BOYACÁ,75,1279955,BOY
CALDAS,187,991860,CAL
CAQUETÁ,181,490056,CAQ
CASANARE,73,368989,CAS
CAUCA,561,1404205,CAU
CESAR,209,1053475,CES
CHOCÓ,228,510047,CHO
CUNDINAMARCA,1555,10843518,COR
CÓRDOBA,258,1762530,CUN
GUAINÍA,3,42777,GUA
GUAVIARE,221,114207,GUV
HUILA,38,1182944,HUI
LA GUAJIRA,209,1012926,LAG
MAGDALENA,201,1285384,MAG
META,281,998162,MET
NARIÑO,530,1787545,NAR
NORTE DE SANTANDER,506,1379533,NSA
PUTUMAYO,130,354094,PUT
QUINDIO,201,571733,QUI
RISARALDA,274,962529,RIS
SAN ANDRÉS,23,77759,SAP
SANTANDER,234,2080938,SAN
SUCRE,116,868438,SUC
TOLIMA,315,1416124,TOL
VALLE DEL CAUCA,2369,4708262,VAC
VAUPÉS,2,44500,VAU
VICHADA,23,75468,VID
