Departamento,Homicidios,Poblacion
AMAZONAS,5,77948
ANTIOQUIA,1915,6613118
ARAUCA,85,267992
ATLÁNTICO,555,2517897
BOLÍVAR,402,2146696
BOYACÁ,75,1279955
CALDAS,187,991860
CAQUETÁ,181,490056
CASANARE,73,368989
CAUCA,561,1404205
CESAR,209,1053475
CHOCÓ,228,510047
CUNDINAMARCA,1555,10843518
CÓRDOBA,258,1762530
GUAINÍA,3,42777
GUAVIARE,221,114207
HUILA,38,1182944
LA GUAJIRA,209,1012926
MAGDALENA,201,1285384
META,281,998162
NARIÑO,530,1787545
NORTE DE SANTANDER,506,1379533
PUTUMAYO,130,354094
QUINDIO,201,571733
RISARALDA,274,962529
SAN ANDRÉS,23,77759
SANTANDER,234,2080938
SUCRE,116,868438
TOLIMA,315,1416124
VALLE DEL CAUCA,2369,4708262
VAUPÉS,2,44500
VICHADA,23,75468
